Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
xception,case1_original,original,pika,Fold_1,0.6667,0.5667,0.4583,0.6111,0.3667
xception,case1_original,original,pika,Fold_2,0.5411,0.4333,0.5854,0.4615,0.8
xception,case1_original,original,pika,Fold_3,0.5711,0.55,0.5091,0.56,0.4667
xception,case1_original,original,pika,Fold_4,0.74,0.6667,0.6552,0.6786,0.6333
xception,case1_original,original,pika,Fold_5,0.6422,0.5833,0.5763,0.5862,0.5667
xception,case1_original,original,pika,Model_Ensemble (Soft Voting),0.7667,0.6833,0.6984,0.6667,0.7333
xception,case1_original,original,pika,Folds_Mean ± SD,0.6322 ± 0.0790,0.5600 ± 0.0838,0.5568 ± 0.0756,0.5795 ± 0.0793,0.5667 ± 0.1650
xception,case1_original,original,runway,Fold_1,0.6,0.5333,0.3913,0.5625,0.3
xception,case1_original,original,runway,Fold_2,0.7372,0.5,0.6512,0.5,0.9333
xception,case1_original,original,runway,Fold_3,0.4856,0.5167,0.4528,0.5217,0.4
xception,case1_original,original,runway,Fold_4,0.6733,0.6,0.5556,0.625,0.5
xception,case1_original,original,runway,Fold_5,0.4689,0.4833,0.4151,0.4783,0.3667
xception,case1_original,original,runway,Model_Ensemble (Soft Voting),0.6978,0.6,0.5862,0.6071,0.5667
xception,case1_original,original,runway,Folds_Mean ± SD,0.5930 ± 0.1165,0.5267 ± 0.0450,0.4932 ± 0.1083,0.5375 ± 0.0580,0.5000 ± 0.2528
xception,case1_original,original,svd,Fold_1,0.6167,0.6,0.52,0.65,0.4333
xception,case1_original,original,svd,Fold_2,0.5456,0.5167,0.6667,0.5088,0.9667
xception,case1_original,original,svd,Fold_3,0.4922,0.4667,0.36,0.45,0.3
xception,case1_original,original,svd,Fold_4,0.6256,0.5667,0.5,0.5909,0.4333
xception,case1_original,original,svd,Fold_5,0.55,0.5333,0.5,0.5385,0.4667
xception,case1_original,original,svd,Model_Ensemble (Soft Voting),0.6211,0.6,0.5862,0.6071,0.5667
xception,case1_original,original,svd,Folds_Mean ± SD,0.5660 ± 0.0553,0.5367 ± 0.0506,0.5093 ± 0.1088,0.5476 ± 0.0766,0.5200 ± 0.2578
xception,case1_original,instagram,pika,Fold_1,0.6644,0.65,0.5882,0.7143,0.5
xception,case1_original,instagram,pika,Fold_2,0.5322,0.45,0.5926,0.4706,0.8
xception,case1_original,instagram,pika,Fold_3,0.5744,0.55,0.4706,0.5714,0.4
xception,case1_original,instagram,pika,Fold_4,0.7589,0.7167,0.7018,0.7407,0.6667
xception,case1_original,instagram,pika,Fold_5,0.6489,0.5667,0.5517,0.5714,0.5333
xception,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.7878,0.7,0.7188,0.6765,0.7667
xception,case1_original,instagram,pika,Folds_Mean ± SD,0.6358 ± 0.0875,0.5867 ± 0.1017,0.5810 ± 0.0834,0.6137 ± 0.1122,0.5800 ± 0.1556
xception,case1_original,instagram,runway,Fold_1,0.6033,0.5667,0.4348,0.625,0.3333
xception,case1_original,instagram,runway,Fold_2,0.7111,0.5,0.6429,0.5,0.9
xception,case1_original,instagram,runway,Fold_3,0.4489,0.5167,0.4082,0.5263,0.3333
xception,case1_original,instagram,runway,Fold_4,0.68,0.6333,0.5769,0.6818,0.5
xception,case1_original,instagram,runway,Fold_5,0.4567,0.45,0.3529,0.4286,0.3
xception,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.6656,0.5833,0.5614,0.5926,0.5333
xception,case1_original,instagram,runway,Folds_Mean ± SD,0.5800 ± 0.1226,0.5333 ± 0.0697,0.4831 ± 0.1217,0.5523 ± 0.1010,0.4733 ± 0.2510
xception,case1_original,instagram,svd,Fold_1,0.5956,0.6167,0.5306,0.6842,0.4333
xception,case1_original,instagram,svd,Fold_2,0.5178,0.5333,0.6744,0.5179,0.9667
xception,case1_original,instagram,svd,Fold_3,0.4611,0.4833,0.3404,0.4706,0.2667
xception,case1_original,instagram,svd,Fold_4,0.6267,0.6167,0.549,0.6667,0.4667
xception,case1_original,instagram,svd,Fold_5,0.5344,0.55,0.5263,0.5556,0.5
xception,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.62,0.5667,0.5357,0.5769,0.5
xception,case1_original,instagram,svd,Folds_Mean ± SD,0.5471 ± 0.0654,0.5600 ± 0.0573,0.5242 ± 0.1194,0.5790 ± 0.0933,0.5267 ± 0.2618
xception,case1_original,kakao_normal,pika,Fold_1,0.6522,0.6333,0.5769,0.6818,0.5
xception,case1_original,kakao_normal,pika,Fold_2,0.5256,0.45,0.5926,0.4706,0.8
xception,case1_original,kakao_normal,pika,Fold_3,0.5733,0.5333,0.4815,0.5417,0.4333
xception,case1_original,kakao_normal,pika,Fold_4,0.7411,0.6833,0.6667,0.7037,0.6333
xception,case1_original,kakao_normal,pika,Fold_5,0.6389,0.5667,0.5517,0.5714,0.5333
xception,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.7656,0.7333,0.75,0.7059,0.8
xception,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.6262 ± 0.0821,0.5733 ± 0.0902,0.5739 ± 0.0671,0.5938 ± 0.0978,0.5800 ± 0.1426
xception,case1_original,kakao_normal,runway,Fold_1,0.5944,0.55,0.4255,0.5882,0.3333
xception,case1_original,kakao_normal,runway,Fold_2,0.7344,0.5,0.6429,0.5,0.9
xception,case1_original,kakao_normal,runway,Fold_3,0.4578,0.5,0.4231,0.5,0.3667
xception,case1_original,kakao_normal,runway,Fold_4,0.6878,0.6167,0.566,0.6522,0.5
xception,case1_original,kakao_normal,runway,Fold_5,0.4656,0.4667,0.3846,0.4545,0.3333
xception,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.6944,0.5833,0.5455,0.6,0.5
xception,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.5880 ± 0.1259,0.5267 ± 0.0585,0.4884 ± 0.1105,0.5390 ± 0.0797,0.4867 ± 0.2411
xception,case1_original,kakao_normal,svd,Fold_1,0.6156,0.6,0.52,0.65,0.4333
xception,case1_original,kakao_normal,svd,Fold_2,0.55,0.5333,0.6744,0.5179,0.9667
xception,case1_original,kakao_normal,svd,Fold_3,0.4767,0.4667,0.36,0.45,0.3
xception,case1_original,kakao_normal,svd,Fold_4,0.62,0.5833,0.5098,0.619,0.4333
xception,case1_original,kakao_normal,svd,Fold_5,0.5467,0.5333,0.5,0.5385,0.4667
xception,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.6322,0.6167,0.5965,0.6296,0.5667
xception,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.5618 ± 0.0589,0.5433 ± 0.0522,0.5128 ± 0.1115,0.5551 ± 0.0803,0.5200 ± 0.2578
xception,case1_original,kakao_high,pika,Fold_1,0.6628,0.5833,0.4898,0.6316,0.4
xception,case1_original,kakao_high,pika,Fold_2,0.5333,0.45,0.5926,0.4706,0.8
xception,case1_original,kakao_high,pika,Fold_3,0.5756,0.55,0.5091,0.56,0.4667
xception,case1_original,kakao_high,pika,Fold_4,0.7333,0.65,0.6316,0.6667,0.6
xception,case1_original,kakao_high,pika,Fold_5,0.6511,0.5833,0.5763,0.5862,0.5667
xception,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.7644,0.6833,0.6984,0.6667,0.7333
xception,case1_original,kakao_high,pika,Folds_Mean ± SD,0.6312 ± 0.0783,0.5633 ± 0.0730,0.5599 ± 0.0591,0.5830 ± 0.0751,0.5667 ± 0.1528
xception,case1_original,kakao_high,runway,Fold_1,0.5922,0.5333,0.3913,0.5625,0.3
xception,case1_original,kakao_high,runway,Fold_2,0.7311,0.5,0.6429,0.5,0.9
xception,case1_original,kakao_high,runway,Fold_3,0.4711,0.5167,0.4528,0.5217,0.4
xception,case1_original,kakao_high,runway,Fold_4,0.6811,0.6333,0.6071,0.6538,0.5667
xception,case1_original,kakao_high,runway,Fold_5,0.4667,0.45,0.3529,0.4286,0.3
xception,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.6856,0.6167,0.6102,0.6207,0.6
xception,case1_original,kakao_high,runway,Folds_Mean ± SD,0.5884 ± 0.1200,0.5267 ± 0.0673,0.4894 ± 0.1294,0.5333 ± 0.0831,0.4933 ± 0.2521
xception,case1_original,kakao_high,svd,Fold_1,0.6133,0.5833,0.4898,0.6316,0.4
xception,case1_original,kakao_high,svd,Fold_2,0.5511,0.5333,0.6744,0.5179,0.9667
xception,case1_original,kakao_high,svd,Fold_3,0.47,0.4667,0.36,0.45,0.3
xception,case1_original,kakao_high,svd,Fold_4,0.6233,0.5667,0.5,0.5909,0.4333
xception,case1_original,kakao_high,svd,Fold_5,0.5533,0.5333,0.5,0.5385,0.4667
xception,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.6178,0.6,0.5862,0.6071,0.5667
xception,case1_original,kakao_high,svd,Folds_Mean ± SD,0.5622 ± 0.0613,0.5367 ± 0.0447,0.5048 ± 0.1118,0.5458 ± 0.0697,0.5133 ± 0.2610
xception,case4_mixed,original,pika,Fold_1,0.7656,0.7,0.7353,0.6579,0.8333
xception,case4_mixed,original,pika,Fold_2,0.51,0.4167,0.5783,0.4528,0.8
xception,case4_mixed,original,pika,Fold_3,0.5278,0.55,0.5574,0.5484,0.5667
xception,case4_mixed,original,pika,Fold_4,0.8511,0.7333,0.7419,0.7188,0.7667
xception,case4_mixed,original,pika,Fold_5,0.5189,0.5167,0.5085,0.5172,0.5
xception,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.7278,0.6333,0.6944,0.5952,0.8333
xception,case4_mixed,original,pika,Folds_Mean ± SD,0.6347 ± 0.1615,0.5833 ± 0.1318,0.6243 ± 0.1074,0.5790 ± 0.1077,0.6933 ± 0.1498
xception,case4_mixed,original,runway,Fold_1,0.6222,0.6,0.6129,0.5938,0.6333
xception,case4_mixed,original,runway,Fold_2,0.6739,0.4667,0.6279,0.4821,0.9
xception,case4_mixed,original,runway,Fold_3,0.4933,0.5,0.4828,0.5,0.4667
xception,case4_mixed,original,runway,Fold_4,0.6267,0.6,0.5556,0.625,0.5
xception,case4_mixed,original,runway,Fold_5,0.4344,0.5167,0.5085,0.5172,0.5
xception,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.6422,0.5833,0.6377,0.5641,0.7333
xception,case4_mixed,original,runway,Folds_Mean ± SD,0.5701 ± 0.1012,0.5367 ± 0.0606,0.5575 ± 0.0633,0.5436 ± 0.0623,0.6000 ± 0.1795
xception,case4_mixed,original,svd,Fold_1,0.5822,0.5667,0.5667,0.5667,0.5667
xception,case4_mixed,original,svd,Fold_2,0.4689,0.4833,0.6437,0.4912,0.9333
xception,case4_mixed,original,svd,Fold_3,0.4278,0.4,0.3077,0.3636,0.2667
xception,case4_mixed,original,svd,Fold_4,0.58,0.55,0.4706,0.5714,0.4
xception,case4_mixed,original,svd,Fold_5,0.4589,0.4833,0.4561,0.4815,0.4333
xception,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.5378,0.55,0.597,0.5405,0.6667
