path,case,platform,gen,label,xception_fold1,xception_fold2,xception_fold3,xception_fold4,xception_fold5,convnext_fold1,convnext_fold2,convnext_fold3,convnext_fold4,convnext_fold5,swin_fold1,swin_fold2,swin_fold3,swin_fold4,swin_fold5,r3d_fold1,r3d_fold2,r3d_fold3,r3d_fold4,r3d_fold5,r2plus1d_fold1,r2plus1d_fold2,r2plus1d_fold3,r2plus1d_fold4,r2plus1d_fold5,videomae_fold1,videomae_fold2,videomae_fold3,videomae_fold4,videomae_fold5
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00001.mp4,case1_original,original,real,0,0.09687654,0.07382971,0.05608106,0.044806086,0.12907304,0.19291921,0.07850098,0.34908882,0.059866417,0.12511882,0.0046365354,0.00047842565,0.0022518474,0.011115013,0.0051696585,0.7854732,0.921145,0.64457476,0.34451234,0.0031115084,0.9709919,0.971537,0.93851966,0.88478804,0.38577956,0.09293445,0.9191359,0.2331821,0.08525123,0.7771307
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00006.mp4,case1_original,original,real,0,0.10828321,0.16539082,0.11792721,0.112551324,0.080719054,0.18509872,0.038285997,0.15752527,0.09916447,0.06766981,0.01539492,0.0032350558,0.0027044294,0.016561339,0.0014866154,0.97394365,0.82664186,0.9890976,0.9486325,0.0008710656,0.9494823,0.9592307,0.99273914,0.93963695,0.9470392,0.57415605,0.9543506,0.8800775,0.7126823,0.92976
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00007.mp4,case1_original,original,real,0,0.13506086,0.2725567,0.09955773,0.12310184,0.095181115,0.19934696,0.10045867,0.17849004,0.2032327,0.06872476,0.07270252,0.35571894,0.0046727303,0.044973563,0.007403014,0.9567152,0.9732915,0.9969722,0.91006696,0.6405656,0.95208645,0.99780875,0.98574555,0.9816127,0.9512782,0.47090387,0.7781018,0.25837275,0.9276915,0.94261247
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00008.mp4,case1_original,original,real,0,0.26894143,0.16647205,0.11426965,0.11446747,0.19436783,0.19383317,0.04292234,0.15259965,0.036356665,0.0965353,0.28884482,0.004256349,0.026556574,0.08441725,0.06717857,0.96835136,0.93874466,0.9901687,0.9596866,0.52396846,0.995488,0.99762183,0.9765577,0.9893063,0.9283439,0.042403832,0.40065408,0.4039048,0.7916601,0.66425455
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00022.mp4,case1_original,original,real,0,0.05300977,0.093678,0.06080765,0.07592666,0.1459046,0.18330106,0.002822833,0.040692955,0.016371552,0.033875983,0.0007222463,0.0009773504,0.00080565666,0.0022518474,0.0025459477,0.5658611,0.8610131,0.9992267,0.9493885,0.27941048,0.992961,0.99424744,0.9957188,0.9873384,0.9181138,0.8782099,0.6829175,0.8532415,0.9923193,0.8785229
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00023.mp4,case1_original,original,real,0,0.026835686,0.122575715,0.03722176,0.02660711,0.07504072,0.18813746,0.025858777,0.22906601,0.08921626,0.11726853,0.02353188,0.0035866157,0.012649319,0.043002646,0.07097702,0.99910307,0.9457512,0.9997434,0.9240733,0.80243945,0.99792516,0.9957684,0.9964551,0.99688846,0.9948001,0.9237301,0.92879725,0.8264319,0.9854264,0.7102265
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00026.mp4,case1_original,original,real,0,0.14342748,0.28552136,0.1973671,0.11456651,0.2657852,0.19868535,0.040654846,0.54978794,0.3637034,0.1595445,0.22015378,0.078289315,0.56247693,0.14422417,0.9803374,0.99568534,0.9653158,0.9969722,0.9269014,0.86759764,0.9500878,0.9634375,0.97664696,0.96468914,0.99469805,0.37174937,0.4890612,0.24476895,0.92729753,0.26740816
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00028.mp4,case1_original,original,real,0,0.19042274,0.1317307,0.24830626,0.25543654,0.070623666,0.18220714,0.033336822,0.40533105,0.12023207,0.07230848,0.035779487,0.0030813639,0.046076804,0.076407686,0.016029146,0.9999076,0.92107415,0.99879104,0.9505489,0.9145963,0.9919848,0.9837225,0.979784,0.97458035,0.99525404,0.6296038,0.8938666,0.9610615,0.9792749,0.5859084
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00035.mp4,case1_original,original,real,0,0.2720729,0.34075934,0.34037557,0.21157968,0.28234458,0.19436783,0.661349,0.2571583,0.069985375,0.10734387,0.35808995,0.23394963,0.01877907,0.42137322,0.013715874,0.99941385,0.99196917,0.99854773,0.9845457,0.5047301,0.9887554,0.9985869,0.99568534,0.98651993,0.98319834,0.578597,0.93913656,0.687997,0.7432379,0.89956343
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00040.mp4,case1_original,original,real,0,0.09734749,0.25141788,0.13189834,0.07857165,0.122838534,0.18851066,0.09730459,0.11981951,0.124478824,0.08502305,0.0021322616,0.0030337367,0.0027202785,0.010268432,0.0072890776,0.0728343,0.38719058,0.9180404,0.8765023,0.00069054146,0.49295092,0.94402224,0.9451468,0.4523696,0.18410648,0.004857966,0.011266297,0.056288198,0.028843539,0.013649977
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00050.mp4,case1_original,original,real,0,0.07647662,0.07544843,0.07011259,0.21133542,0.07198163,0.18465722,0.011179602,0.12784305,0.15495056,0.14953138,0.16762704,0.0021489493,0.00818791,0.26213288,0.018761085,0.9923934,0.8818186,0.9947187,0.9031661,0.48194143,0.9899671,0.9975177,0.95961094,0.9898205,0.9340651,0.10306955,0.77483904,0.648689,0.9882902,0.74101865
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00055.mp4,case1_original,original,real,0,0.060418423,0.06866228,0.08100938,0.03989989,0.122575715,0.18377666,0.04720577,0.15568724,0.13178657,0.0823277,0.0013831174,0.00084759,0.0011948781,0.0066282395,0.0005571117,0.9164094,0.8536079,0.98279023,0.89335597,0.021125194,0.6421941,0.99184376,0.9274948,0.9791158,0.9440996,0.07204688,0.5047759,0.34651366,0.7989722,0.27532452
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00056.mp4,case1_original,original,real,0,0.12543988,0.27537322,0.12033539,0.06773145,0.062046263,0.19079942,0.03213106,0.11018359,0.1689255,0.07999737,0.0075479234,0.0061570317,0.0011160143,0.06587474,0.0011203773,0.9753431,0.8226882,0.98932695,0.74276006,0.0075333063,0.92206234,0.9816304,0.91266996,0.97254544,0.77244484,0.004070138,0.2552508,0.40436044,0.39012727,0.084040605
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00057.mp4,case1_original,original,real,0,0.10539455,0.24006122,0.18997152,0.080719054,0.15052763,0.19993211,0.14718705,0.2082393,0.23174459,0.27067298,0.6277516,0.07257095,0.35475433,0.19049804,0.158793,0.9999918,0.9861247,0.9993242,0.95430803,0.9901592,0.998147,0.9979771,0.99845123,0.9876758,0.9971161,0.9898303,0.97931457,0.9545628,0.99419135,0.8893848
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00059.mp4,case1_original,original,real,0,0.35748342,0.16092426,0.17245041,0.26592812,0.13580413,0.19911328,0.066629894,0.1435475,0.09640762,0.0823277,0.2985936,0.0010525686,0.0014721896,0.043204032,0.011597362,0.97608364,0.66958284,0.9502266,0.9258693,0.005968731,0.9159594,0.91022664,0.9190633,0.8228307,0.3692298,0.015799738,0.051415116,0.64237636,0.98651993,0.8175016
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00062.mp4,case1_original,original,real,0,0.31568322,0.1339241,0.1746213,0.16013464,0.13296424,0.18836129,0.0025016968,0.035880696,0.03461884,0.08277146,0.009303949,0.00011501736,0.0001760562,0.009898064,0.00033797944,0.9900636,0.6970936,0.9990415,0.9349913,0.050283972,0.99565166,0.99879336,0.9936241,0.96814114,0.9633687,0.20189188,0.88478804,0.74789226,0.524623,0.84619683
C:\Users\leejy\Desktop\test_experiment\dataset\test\case1_original\real\original\00070.mp4,case1_original,original,real,0,0.080936715,0.19891867,0.062103122,0.17624585,0.04858621,0.18635406,0.20781696,0.17173733,0.11491367,0.07723878,0.13122888,0.013649977,0.025834188,0.07316472,0.01083937,0.9639839,0.60743034,0.8342719,0.843702,0.0385747,0.8394709,0.9845457,0.97546023,0.60203236,0.62540954,0.3280987,0.96253246,0.83887786,0.3472604,0.9668514
