label,src,dst,target_id,status,message,input_fps,input_frame_count,input_w,input_h,output_fps,output_frames,output_w,output_h,x1,y1,x2,y2,face_detected,padded
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\008.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\008.mp4,008,done,,25.0,637,640,480,25,25,1024,576,182,0,640,258,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\009.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\009.mp4,009,done,,30.0,588,640,480,25,25,1024,576,0,52,640,412,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\015.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\015.mp4,015,done,,30.0,437,640,480,25,25,1024,576,27,24,640,369,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\027.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\027.mp4,027,done,,30.0,315,640,480,25,25,1024,576,0,0,640,360,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\033.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\033.mp4,033,done,,25.0,809,854,480,25,25,1024,576,231,0,583,198,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\035.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\035.mp4,035,done,,25.0,423,640,480,25,25,1024,576,0,0,640,360,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\036.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\036.mp4,036,done,,25.0,337,640,480,25,25,1024,576,0,0,640,360,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\044.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\044.mp4,044,done,,30.0,335,1280,720,25,25,1024,576,0,0,1280,720,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\046.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\046.mp4,046,done,,30.0,504,1280,720,25,25,1024,576,0,0,1280,720,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\054.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\054.mp4,054,done,,30.0,368,640,480,25,25,1024,576,14,0,623,343,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\055.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\055.mp4,055,done,,30.0,394,640,480,25,25,1024,576,0,0,640,360,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\060.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\060.mp4,060,done,,25.0,844,600,480,25,25,1024,576,0,21,600,358,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\062.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\062.mp4,062,done,,30.0,423,640,480,25,25,1024,576,0,15,467,278,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\066.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\066.mp4,066,done,,30.0,435,720,480,25,25,1024,576,115,3,611,282,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\071.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\071.mp4,071,done,,30.0,453,654,480,25,25,1024,576,6,0,654,365,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\088.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\088.mp4,088,done,,25.0,665,640,480,25,25,1024,576,32,26,638,367,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\096.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\096.mp4,096,done,,30.0,504,1920,1080,25,25,1024,576,128,103,698,424,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\097.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\097.mp4,097,done,,25.0,478,640,480,25,25,1024,576,22,0,402,214,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\101.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\101.mp4,101,done,,30.0,1148,854,480,25,25,1024,576,74,3,751,384,True,False
real,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\ffpp_source\real\107.mp4,C:\Users\leejy\Desktop\test_experiment\dataset\final_dataset_v2\raw_ffpp\real\107.mp4,107,done,,25.0,556,640,480,25,25,1024,576,0,0,540,304,True,False
