Index,Platform,Orig_Res,Dist_Res,FPS_Diff,Codec,Box_Sequence,Est_CRF,Blockiness,Bitrate_Loss(%)
S01,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,36.49,1.1401,88.2
S01,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,33.13,1.2479,82.6
S01,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,18.94,1.0766,10.3
S01,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,20.22,1.0614,22.6
S02,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,31.48,1.1661,78.9
S02,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,29.04,1.1915,72.1
S02,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,18.7,1.2515,7.8
S02,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,19.77,1.1288,18.5
S03,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,43.87,0.9957,95.0
S03,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,30.57,1.2222,76.6
S03,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,24.2,1.1742,51.2
S03,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,21.2,1.136,30.9
S04,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,40.23,1.3477,92.3
S04,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,31.42,1.1013,78.8
S04,3_KAKAO_NORMAL,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,20.39,1.0423,24.1
S04,3_KAKAO_HIGH,1920x1080,1918x1080,0.0,hevc,ftyp-free-mdat-moov,19.57,1.0249,16.6
S05,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,43.07,1.1947,94.5
S05,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,36.72,1.6327,88.5
S05,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,29.69,1.4937,74.1
S05,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,25.22,1.4237,56.6
S06,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,43.16,1.2021,94.5
S06,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,34.69,1.3293,85.5
S06,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,27.41,1.3464,66.3
S06,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,24.08,1.2473,50.4
S07,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,55.01,1.569,98.6
S07,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,36.25,1.3549,87.9
S07,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,29.12,1.2743,72.3
S07,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,25.64,1.1241,58.6
S08,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,42.69,1.0205,94.2
S08,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,36.67,1.4529,88.4
S08,3_KAKAO_NORMAL,1920x1080,1280x720,0.0,h264,ftyp-moov-free-mdat,23.51,1.333,47.1
S08,3_KAKAO_HIGH,1920x1080,1920x1080,0.0,hevc,ftyp-free-mdat-moov,23.96,1.2694,49.8
S09,1_YOUTUBE,1920x1080,640x360,0.0,h264,ftyp-moov-mdat,64.22,1.083,99.5
S09,2_INSTAGRAM,1920x1080,1276x720,0.0,h264,ftyp-moov-free-mdat,39.62,1.0294,91.8
