Model,Dataset,LR,BatchSize,Optimizer,Avg_AUC,Fold_Scores
videomae_v2,mixed,0.0001,2,adamw,0.910055352055352,"[0.9173789173789174, 0.878917378917379, 0.9401709401709402, 0.8671428571428571, 0.9466666666666667]"
videomae_v2,mixed,0.0001,2,adam,0.8155482295482296,"[0.8945868945868947, 0.4772079772079772, 0.8447293447293447, 0.9071428571428571, 0.9540740740740741]"
videomae_v2,mixed,0.0001,4,adamw,0.9092836792836791,"[0.8831908831908832, 0.8803418803418803, 0.9715099715099715, 0.8528571428571429, 0.9585185185185185]"
videomae_v2,mixed,0.0001,4,adam,0.929999185999186,"[0.9615384615384615, 0.9316239316239316, 0.9601139601139601, 0.8885714285714286, 0.9081481481481481]"
videomae_v2,mixed,5e-05,2,adamw,0.9522767602767603,"[0.9629629629629628, 0.9615384615384615, 0.98005698005698, 0.9057142857142857, 0.9511111111111111]"
videomae_v2,mixed,5e-05,2,adam,0.964857142857143,"[0.9572649572649572, 0.9743589743589743, 0.9757834757834758, 0.9242857142857143, 0.9925925925925927]"
videomae_v2,mixed,5e-05,4,adamw,0.9693113553113551,"[0.9729344729344729, 0.9843304843304843, 0.9886039886039887, 0.9214285714285714, 0.9792592592592593]"
videomae_v2,mixed,5e-05,4,adam,0.9540122100122099,"[0.9586894586894587, 0.982905982905983, 0.962962962962963, 0.9114285714285715, 0.9540740740740741]"
videomae_v2,mixed,1e-05,2,adamw,0.9495238095238095,"[0.9202279202279201, 0.9743589743589743, 0.9757834757834759, 0.9142857142857144, 0.9629629629629629]"
videomae_v2,mixed,1e-05,2,adam,0.9432022792022792,"[0.9287749287749287, 0.9487179487179487, 0.962962962962963, 0.92, 0.9555555555555555]"
videomae_v2,mixed,1e-05,4,adamw,0.9304159544159545,"[0.9273504273504273, 0.9572649572649572, 0.9615384615384616, 0.88, 0.9259259259259258]"
videomae_v2,mixed,1e-05,4,adam,0.9140675620675621,"[0.8860398860398859, 0.9544159544159544, 0.9301994301994302, 0.8485714285714286, 0.951111111111111]"
