Model,LR,AUC
xception,0.0001,0.382716049382716
xception,5e-05,0.4753086419753086
xception,1e-05,0.4197530864197531
convnext,0.0001,0.5154320987654321
convnext,5e-05,0.5
convnext,1e-05,0.3166666666666666
swin,0.0001,0.5209876543209877
swin,5e-05,0.5351851851851852
swin,1e-05,0.4796296296296297
r3d,0.0001,0.9623456790123456
r3d,5e-05,0.9395061728395062
r3d,1e-05,0.778395061728395
r2plus1d,0.0001,0.9290123456790124
r2plus1d,5e-05,0.9302469135802468
r2plus1d,1e-05,0.7524691358024692
videomae,0.0001,1.0
videomae,5e-05,0.9993827160493827
videomae,1e-05,0.995679012345679
