lr,dropout,model,auc,acc,f1,precision,recall,weight_decay,sampling,layer_decay
0.001,0.2,xception,0.9991319444444444,0.9479166666666666,0.9504950495049505,0.9056603773584906,1.0,,,
0.001,0.35,xception,0.9930555555555555,0.96875,0.9690721649484536,0.9591836734693877,0.9791666666666666,,,
0.001,0.5,xception,0.9822048611111112,0.90625,0.898876404494382,0.975609756097561,0.8333333333333334,,,
0.0005,0.2,xception,0.9752604166666666,0.9270833333333334,0.9278350515463918,0.9183673469387755,0.9375,,,
0.0005,0.35,xception,0.9930555555555556,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,,,
0.0005,0.5,xception,0.9947916666666666,0.9479166666666666,0.9473684210526315,0.9574468085106383,0.9375,,,
0.0001,0.2,xception,0.9778645833333333,0.875,0.8666666666666667,0.9285714285714286,0.8125,,,
0.0001,0.35,xception,0.9787326388888888,0.8958333333333334,0.8913043478260869,0.9318181818181818,0.8541666666666666,,,
0.0001,0.5,xception,0.9735243055555556,0.90625,0.9072164948453608,0.8979591836734694,0.9166666666666666,,,
0.0001,,swin,0.982421875,0.9270833333333334,0.9306930693069307,0.8867924528301887,0.9791666666666666,0.01,,
0.0001,,swin,0.984375,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.03,,
0.0001,,swin,0.9947916666666667,0.9375,0.9387755102040817,0.92,0.9583333333333334,0.05,,
5e-05,,swin,0.9952256944444444,0.9479166666666666,0.9484536082474226,0.9387755102040817,0.9583333333333334,0.01,,
5e-05,,swin,0.9952256944444445,0.9375,0.9387755102040817,0.92,0.9583333333333334,0.03,,
5e-05,,swin,0.9930555555555556,0.9479166666666666,0.9473684210526315,0.9574468085106383,0.9375,0.05,,
1e-05,,swin,0.9322916666666666,0.8645833333333334,0.8631578947368421,0.8723404255319149,0.8541666666666666,0.01,,
1e-05,,swin,0.9691840277777778,0.9375,0.9361702127659575,0.9565217391304348,0.9166666666666666,0.03,,
1e-05,,swin,0.9600694444444444,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.05,,
0.001,,r3d,0.984375,0.9270833333333334,0.9292929292929293,0.9019607843137255,0.9583333333333334,,uniform,
0.001,,r3d,0.998046875,0.9270833333333334,0.9320388349514563,0.8727272727272727,1.0,,dense,
0.0005,,r3d,0.9848090277777778,0.9270833333333334,0.9247311827956989,0.9555555555555556,0.8958333333333334,,uniform,
0.0005,,r3d,0.9995659722222222,0.9895833333333334,0.9894736842105263,1.0,0.9791666666666666,,dense,
0.0001,,r3d,0.9898003472222222,0.9479166666666666,0.9504950495049505,0.9056603773584906,1.0,,uniform,
0.0001,,r3d,0.9973958333333333,0.9375,0.9347826086956522,0.9772727272727273,0.8958333333333334,,dense,
0.0005,,videomae,0.6453993055555556,0.5416666666666666,0.6140350877192983,0.5303030303030303,0.7291666666666666,,,0.65
0.0005,,videomae,0.7395833333333334,0.6458333333333334,0.5853658536585366,0.7058823529411765,0.5,,,0.7
0.0005,,videomae,0.5794270833333333,0.5729166666666666,0.6870229007633588,0.5421686746987951,0.9375,,,0.75
0.0001,,videomae,0.9937065972222222,0.9791666666666666,0.9795918367346939,0.96,1.0,,,0.65
0.0001,,videomae,0.9954427083333333,0.9895833333333334,0.9896907216494846,0.9795918367346939,1.0,,,0.7
0.0001,,videomae,0.9934895833333333,0.9895833333333334,0.9896907216494846,0.9795918367346939,1.0,,,0.75
